Wall time,Step,Value
1747706888.9968646,1155072,196.7023468017578
1747706905.5340629,1157120,195.5380859375
1747706922.3097754,1159168,199.3152618408203
1747706939.0642087,1161216,199.4844970703125
1747706955.8211854,1163264,198.0625457763672
1747706972.55296,1165312,197.57626342773438
1747706989.611964,1167360,199.35752868652344
1747707005.6237168,1169408,198.03733825683594
1747707021.7994666,1171456,202.09947204589844
1747707038.3209884,1173504,211.01840209960938
1747707054.3939877,1175552,215.94483947753906
1747707070.383197,1177600,214.7049560546875
1747707086.3585377,1179648,210.47511291503906
1747707102.8393056,1181696,209.71896362304688
1747707118.897715,1183744,211.45899963378906
1747707135.05887,1185792,213.2840118408203
1747707151.2640657,1187840,208.48838806152344
1747707167.3500922,1189888,208.3544158935547
1747707183.2048585,1191936,206.98239135742188
1747707199.4914186,1193984,206.33006286621094
1747707216.3337796,1196032,206.4984130859375
1747707232.6357388,1198080,209.1466064453125
1747707249.6077785,1200128,212.16810607910156
1747707266.5901084,1202176,213.92984008789062
1747707283.8096774,1204224,210.68948364257812
1747707299.9084587,1206272,206.57460021972656
1747707316.00182,1208320,203.98423767089844
1747707332.2185376,1210368,200.50982666015625
1747707348.8043468,1212416,195.3657989501953
1747707365.038968,1214464,195.12905883789062
1747707381.1778579,1216512,195.14915466308594
1747707397.899368,1218560,194.41378784179688
1747707414.5794253,1220608,194.86322021484375
1747707430.7026045,1222656,193.6453094482422
1747707447.2443206,1224704,195.22915649414062
1747707464.160709,1226752,194.26153564453125
1747707481.0261662,1228800,198.24093627929688
1747707497.0721736,1230848,198.53909301757812
1747707512.9754422,1232896,198.11978149414062
1747707528.9882095,1234944,197.62364196777344
1747707545.4281971,1236992,194.87643432617188
1747707561.3569815,1239040,196.8912353515625
1747707577.8706799,1241088,197.28244018554688
1747707594.614145,1243136,199.37448120117188
1747707611.2644446,1245184,200.59156799316406
1747707627.6690948,1247232,202.16131591796875
1747707644.6857488,1249280,206.39515686035156
1747707660.8279798,1251328,206.96585083007812
1747707677.2405186,1253376,206.16055297851562
1747707693.319095,1255424,207.48812866210938
1747707709.2337854,1257472,207.23085021972656
1747707725.302628,1259520,211.28428649902344
1747707741.4070792,1261568,208.15994262695312
1747707757.098943,1263616,209.67494201660156
1747707773.2644234,1265664,209.62881469726562
1747707789.080415,1267712,209.76321411132812
1747707805.2197883,1269760,210.51841735839844
1747707821.0969357,1271808,210.0281219482422
1747707836.8231862,1273856,208.48135375976562
1747707852.7543488,1275904,206.76535034179688
1747707868.9694097,1277952,208.96034240722656
1747707885.0976195,1280000,213.0968780517578
1747707901.1504047,1282048,212.0606231689453
1747707917.721327,1284096,210.15647888183594
1747707934.3327177,1286144,207.44070434570312
1747707950.8924758,1288192,207.39999389648438
1747707967.5356069,1290240,210.55323791503906
1747707984.1048505,1292288,211.94854736328125
1747708000.8041098,1294336,213.24295043945312
1747708017.5506735,1296384,205.96664428710938
1747708034.1436663,1298432,205.8007049560547
1747708051.1188238,1300480,206.9516143798828
1747708067.7579658,1302528,208.4908447265625
1747708084.4736767,1304576,207.92431640625
1747708101.2643533,1306624,206.6991424560547
1747708117.3446825,1308672,202.24188232421875
1747708133.720806,1310720,200.6017608642578
1747708150.8191652,1312768,202.32754516601562
1747708169.4795997,1314816,199.9296875
1747708187.3736563,1316864,195.86256408691406
1747708203.9561892,1318912,198.9681854248047
1747708220.616513,1320960,195.74203491210938
1747708237.5506444,1323008,194.3638153076172
1747708254.1028824,1325056,194.7168426513672
1747708270.212566,1327104,197.15066528320312
1747708286.738815,1329152,195.36184692382812
1747708303.394614,1331200,193.39859008789062
1747708319.1085255,1333248,192.8399658203125
1747708335.5193555,1335296,198.38076782226562
1747708351.7093406,1337344,201.98912048339844
1747708367.412763,1339392,197.99717712402344
1747708383.649362,1341440,197.99826049804688
1747708400.0715668,1343488,198.79800415039062
1747708416.743016,1345536,198.34286499023438
1747708432.645321,1347584,199.52191162109375
1747708448.8307676,1349632,198.62631225585938
1747708465.4503279,1351680,201.67100524902344
1747708482.1740031,1353728,203.85572814941406
1747708498.1050448,1355776,210.0105743408203
1747708514.072289,1357824,214.27371215820312
1747708530.4318843,1359872,214.56488037109375
1747708546.5427206,1361920,217.91390991210938
1747708563.1973023,1363968,215.64146423339844
1747708580.023536,1366016,217.59976196289062
1747708596.1491566,1368064,219.9918670654297
1747708612.703448,1370112,221.77943420410156
1747708629.3940105,1372160,215.85479736328125
1747708646.0665119,1374208,215.4348907470703
1747708662.772184,1376256,213.75843811035156
1747708679.3839579,1378304,212.29360961914062
1747708696.0364673,1380352,214.2364959716797
1747708712.784571,1382400,211.06298828125
1747708729.224663,1384448,212.35983276367188
1747708745.5070724,1386496,212.28305053710938
1747708761.4558084,1388544,213.4225311279297
1747708777.2799308,1390592,209.01766967773438
1747708793.6069036,1392640,207.500244140625
1747708809.5962346,1394688,210.1920928955078
1747708825.5918086,1396736,208.379150390625
1747708841.7566447,1398784,205.1204071044922
1747708857.7368927,1400832,204.7879638671875
1747708873.5581656,1402880,205.63296508789062
1747708889.5481532,1404928,205.5675506591797
1747708905.5490441,1406976,206.23855590820312
1747708921.909715,1409024,198.93455505371094
1747708938.3662517,1411072,205.41647338867188
1747708955.6175983,1413120,204.42051696777344
1747708972.1963947,1415168,208.18612670898438
1747708988.6785944,1417216,210.909912109375
1747709005.2939656,1419264,215.3372802734375
1747709022.0598998,1421312,212.79367065429688
1747709038.5754256,1423360,214.760986328125
1747709055.214816,1425408,215.51451110839844
1747709071.9784439,1427456,216.205322265625
1747709088.448888,1429504,219.138671875
1747709104.3918662,1431552,220.4032745361328
1747709120.57787,1433600,217.62631225585938
1747709136.9799712,1435648,211.8824005126953
1747709154.1276171,1437696,211.6939697265625
1747709170.2790558,1439744,212.67062377929688
1747709186.5452852,1441792,209.60401916503906
1747709203.0073702,1443840,209.62562561035156
1747709219.1468887,1445888,217.29713439941406
1747709235.2111292,1447936,214.6253204345703
1747709251.3221483,1449984,215.3373260498047
1747709267.2010448,1452032,214.57261657714844
1747709283.9442115,1454080,214.39547729492188
1747709300.140709,1456128,213.9322509765625
1747709316.1853828,1458176,215.64453125
1747709332.8032367,1460224,213.99588012695312
1747709349.5041575,1462272,212.36436462402344
1747709366.1828382,1464320,211.31060791015625
1747709383.2085152,1466368,210.7836151123047
1747709399.7862914,1468416,208.90138244628906
1747709416.6373477,1470464,211.0302276611328
1747709433.0304985,1472512,212.27621459960938
1747709449.5704489,1474560,215.58604431152344
1747709465.7539933,1476608,218.34913635253906
1747709481.8095436,1478656,213.34742736816406
1747709498.35473,1480704,209.705078125
1747709514.1867836,1482752,212.12574768066406
1747709530.1282616,1484800,209.94842529296875
1747709546.2413201,1486848,203.06289672851562
1747709562.4343388,1488896,201.97265625
1747709578.5921535,1490944,199.18899536132812
1747709594.9305258,1492992,195.54049682617188
1747709611.2301834,1495040,195.55885314941406
1747709627.6020665,1497088,196.10330200195312
1747709643.6210704,1499136,199.83131408691406
