rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/learning_rate,train/std,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/loss,train/value_loss,train/entropy_loss,train/clip_range
-111.22717321999998,124928,61,791,157,1122.33,0.0003,0.7508919835090637,0.105029296875,-0.008464762970106676,600,0.7370761632919312,0.009194894,0.09397643804550171,0.2349941359134391,-4.541569535434246,0.2
-110.26882762000001,126976,62,807,157,1137.44,0.0003,0.7445473670959473,0.10595703125,-0.00884607085317839,610,0.5802910327911377,0.008978363,0.14342866837978363,0.26543251634575427,-4.512315513193608,0.2
-110.14169187000002,129024,63,825,156,1152.94,0.0003,0.7414214611053467,0.139990234375,-0.014675688708666711,620,0.6480215191841125,0.011292249,0.049964554607868195,0.181898233294487,-4.488802862167359,0.2
-110.00717528000001,131072,64,842,155,1173.36,0.0003,0.7433463335037231,0.130419921875,-0.01334996660007164,630,0.7950543165206909,0.010530275,0.050966598093509674,0.15144629774149507,-4.483827270567417,0.2
-109.92130447999998,133120,65,859,154,1181.57,0.0003,0.7443205714225769,0.027587890625,-0.0036961606529075652,640,0.8757727146148682,0.0045274007,0.4142245054244995,7.7777450939640405,-4.491468435525894,0.2
-109.79622296,135168,66,876,154,1181.57,0.0003,0.743088960647583,0.0603515625,-0.005829065808211453,650,0.9556465744972229,0.0067275735,0.704340398311615,2.0984520385973155,-4.49215596318245,0.2
-109.64067140000002,137216,67,893,153,1196.6,0.0003,0.73671954870224,0.131787109375,-0.010590916726505384,660,0.7868987917900085,0.009798801,0.019007675349712372,0.12167281708680093,-4.471172894537449,0.2
-109.28635968,139264,68,909,153,1215.07,0.0003,0.7338517308235168,0.12890625,-0.010789279198797885,670,0.5312916040420532,0.009972762,0.07979021966457367,0.21850363637786357,-4.444764637947083,0.2
-109.07109556999998,141312,69,926,152,1191.65,0.0003,0.7321739196777344,0.0751953125,-0.006751819688361138,680,0.8178195953369141,0.006857819,0.09382813423871994,3.1909327778965233,-4.433120869100094,0.2
-108.83993792000001,143360,70,942,152,1206.94,0.0003,0.7316703796386719,0.050048828125,-0.006085455190623179,690,0.9358747005462646,0.006462194,3.8924782276153564,9.309001162648201,-4.426575221121311,0.2
-108.17764748000002,145408,71,958,151,1206.94,0.0003,0.732701301574707,0.129052734375,-0.010597993776900693,700,0.3074391484260559,0.011544775,0.03980197012424469,0.1696299970149994,-4.429628849029541,0.2
-108.25517610000001,147456,72,975,151,1194.02,0.0003,0.7299280166625977,0.133447265625,-0.010041508707217872,710,0.08259183168411255,0.010658136,0.3763265609741211,0.5612464958801866,-4.427757880091667,0.2
-108.16121572,149504,73,992,150,1196.92,0.0003,0.7314670085906982,0.0619140625,-0.006307306833332404,720,0.8835988640785217,0.008389099,0.7785367369651794,5.865565810212866,-4.4198835924267765,0.2
-108.51047319,151552,74,1007,150,1192.81,0.0003,0.7310439348220825,0.03017578125,-0.0041617103153839706,730,0.8270773887634277,0.0067525464,3.7868688106536865,10.050738529674708,-4.423187589645385,0.2
-108.22041069999999,153600,75,1023,150,1196.15,0.0003,0.7307202816009521,0.013623046875,-0.003432933345902711,740,0.8167667388916016,0.00452169,4.39686918258667,18.92869431935251,-4.421749825775623,0.2
-107.92832672,155648,76,1037,149,1196.15,0.0003,0.7306622266769409,0.034912109375,-0.0072599323641043155,750,0.7215225696563721,0.008180141,22.4283447265625,20.323405136168002,-4.420742183923721,0.2
-107.8432886,157696,77,1053,149,1196.15,0.0003,0.7207974791526794,0.148974609375,-0.010676333602168598,760,0.17257755994796753,0.012384713,0.16064301133155823,0.3296375621575862,-4.393457096815109,0.2
-107.07153706999998,159744,78,1068,149,1219.25,0.0003,0.7085184454917908,0.14951171875,-0.014892704380326905,770,0.604111909866333,0.013438251,0.08340021967887878,0.3071816952433437,-4.3274124160408975,0.2
-106.83684241999998,161792,79,1082,149,1222.16,0.0003,0.6982226967811584,0.142431640625,-0.012393053268897346,780,0.7800312042236328,0.009538838,0.0648873895406723,0.18615472202654929,-4.261473648250103,0.2
-105.38598941000001,163840,80,1096,149,1207.36,0.0003,0.6973655223846436,0.087255859375,-0.0071562184515642,790,0.9344141483306885,0.009335359,0.15362098813056946,4.073068966437131,-4.235093100368976,0.2
