rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/value_loss,train/loss,train/learning_rate,train/std,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_fraction
-92.13681244,202752,673,300,99,953.19,-3.439503363519907,3.5982227766886354,0.5090839862823486,0.0003,0.572859525680542,0.2,0.010957346,-0.007023864475195296,980,0.8803076148033142,0.10126953125
-91.25682287000001,204800,690,296,100,968.27,-3.4388131074607373,8.975028292275965,0.9116367101669312,0.0003,0.5726351737976074,0.2,0.01233631,-0.006890401191776618,990,0.7127196192741394,0.10322265625
-91.03616457,206848,706,292,101,980.73,-3.4153273805975912,0.49744089171290395,0.15664713084697723,0.0003,0.5659277439117432,0.2,0.012676768,-0.00948671817604918,1000,0.47789913415908813,0.138232421875
-91.92215686,208896,723,288,102,971.44,-3.372760754823685,0.5227368537336587,0.04273024946451187,0.0003,0.560361385345459,0.2,0.012782828,-0.010659570468124002,1010,0.8501100540161133,0.1482421875
-91.46838068000001,210944,739,285,103,944.18,-3.3534534737467765,23.496968310326338,1.7046412229537964,0.0003,0.5614229440689087,0.2,0.0068806484,-0.005412296176655218,1020,0.8427818417549133,0.04306640625
-91.13312699,212992,754,282,104,949.2,-3.3586327366530897,15.408630881085992,12.653020858764648,0.0003,0.5613555908203125,0.2,0.008312741,-0.006209988732007332,1030,0.8843977451324463,0.03935546875
-90.47611530000002,215040,769,279,105,943.67,-3.3590974174439907,11.11836476083845,1.4693325757980347,0.0003,0.5619794130325317,0.2,0.009179808,-0.005613731445919257,1040,0.819987416267395,0.11806640625
-89.45807144999999,217088,785,276,106,946.11,-3.3641283214092255,40.570090892910954,20.038169860839844,0.0003,0.5625618696212769,0.2,0.005484959,-0.004649886627157684,1050,0.8498784303665161,0.022119140625
-89.00435307,219136,800,273,107,949.81,-3.365020614862442,25.849106281995773,8.5938081741333,0.0003,0.5623018741607666,0.2,0.007928779,-0.005657769760000519,1060,0.881838858127594,0.06640625
-88.69631749,221184,816,270,108,948.06,-3.3650249004364015,53.409251523017886,20.734426498413086,0.0003,0.5625855326652527,0.2,0.005600646,-0.006322826536779758,1070,0.792802095413208,0.024853515625
-89.06237135,223232,835,267,109,942.75,-3.366025238484144,27.629156357049943,7.931294918060303,0.0003,0.562538206577301,0.2,0.004629678,-0.004581792678800411,1080,0.909522533416748,0.030908203125
-89.22159004999999,225280,856,263,110,954.84,-3.3506887264549734,8.426707442477346,1.6913055181503296,0.0003,0.5583969354629517,0.2,0.009383917,-0.0031861050287261606,1090,0.8949300646781921,0.106787109375
-89.15475931,227328,877,259,111,958.15,-3.3262516260147095,14.279442808404564,9.534777641296387,0.0003,0.5551574230194092,0.2,0.01699284,-0.0070518638691282835,1100,0.8126356601715088,0.151025390625
-90.09762334000001,229376,892,257,112,933.62,-3.308757073432207,16.255169002711774,1.2890816926956177,0.0003,0.5542536973953247,0.2,0.012424649,-0.010683131049154327,1110,0.8561481833457947,0.119580078125
-89.03352379000002,231424,907,255,113,940.42,-3.300262060761452,26.374978700280188,16.26765251159668,0.0003,0.552623987197876,0.2,0.009845242,-0.00921578165725805,1120,0.8713280558586121,0.087060546875
-89.14443209000002,233472,922,253,114,935.53,-3.2973757341504095,36.444490044564006,9.325898170471191,0.0003,0.5530688762664795,0.2,0.010346721,-0.009216699462558608,1130,0.8952849507331848,0.1279296875
-87.86050858,235520,937,251,115,936.67,-3.2921790443360806,15.72056809477508,2.2326934337615967,0.0003,0.55045485496521,0.2,0.013466669,-0.003855024793301709,1140,0.8828022480010986,0.135498046875
-87.99426266,237568,952,249,116,958.53,-3.260865081846714,6.2764374651014805,3.6962718963623047,0.0003,0.5443474054336548,0.2,0.014332866,-0.005730983612011187,1150,0.9064731597900391,0.1697265625
-87.0583393,239616,967,247,117,958.53,-3.226704163849354,17.180688904970886,3.061948776245117,0.0003,0.5422334671020508,0.2,0.008701353,-0.008134095164132304,1160,0.8811144828796387,0.118408203125
-86.22759058,241664,983,245,118,972.82,-3.227700378000736,3.59842188693583,1.0054970979690552,0.0003,0.5447624921798706,0.2,0.017639443,-0.0038571715907892213,1170,0.6127943992614746,0.208349609375
-86.17412377000001,243712,998,244,119,980.12,-3.230205649137497,9.541039324551821,1.2202531099319458,0.0003,0.5428066253662109,0.2,0.016519448,-0.005157776197302155,1180,0.8277106881141663,0.199658203125
-84.80123901,245760,1022,240,120,970.05,-3.218632892519236,12.131846131384373,2.4772090911865234,0.0003,0.5411450862884521,0.2,0.009509439,-0.001798509934451431,1190,0.8680691719055176,0.14375
-85.14877869000001,247808,1039,238,121,962.86,-3.2121064491569995,19.524989838153125,2.4926986694335938,0.0003,0.5412031412124634,0.2,0.011313049,-0.0073155866179149594,1200,0.9134432077407837,0.120947265625
